"","primary_id","study_title","sequence_accession_number","sampleID","bioreactor_model","donor","include_study","reason","fecalSampleSequence","ndonor_type","country_donor","continent","predigestion","stage","stages","working_volume_mL","pH_ac","pH_tc","pH_dc","stirring_speed_rpm","total_retention_time_h","treatment","external_microorganism","flushing_gas","CO2_.","N2_.","H2_.","region_16S","media_based_on","vitamins","peptone","yeast_extract","NaHCO3","CaCl2","pectin","xylan","arabinogalactan","starch","casein","inulin","NaCl","K2HPO4","NaH2PO4","KH2PO4","MgSO4","hemin","menadione","bile_salts_oxgall","L_cysteine","mucin","glucose","pancreatin","cellobiose","lactose","whey_proteins_lactalbumin","HEPES","guanine","inosine","thymidine","xanthine","choline_chloride","ascorbic_acid","lipoic_acid","histidine","resazurin","aminoacid_mix","trace_mineral_supplement","cellulose","bacto_tryptone","XOS","Tween_80","KCL","MgCl2","FeSO4","MnCl2","CoSO4","CuSO4","ZnSO4","NiCl2","Xylitol","Rice","popcorn","whey_protein","arabic_gum","guar_gum","polyoxyethylene","digested_milk_fragments","maltose","include_sample","sample_name_other","reason_sample_exclusion"
"1","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558742","ERR2540324","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"2","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558741","ERR2540323","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"3","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558740","ERR2540322","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"4","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558739","ERR2540321","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"5","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558738","ERR2540320","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"6","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558737","ERR2540319","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"7","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558736","ERR2540318","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"8","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558735","ERR2540317","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"9","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558734","ERR2540316","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
"10","ERP108433","Antibiotic induced changes in the microbiota disrupt redox dynamics in the gut","ERX2558733","ERR2540315","Infors_Reese_et_al_2018","healthy","yes","OK","no","3_individual","United States","North America","no","1","ac",400,"6.9",NA,NA,NA,24,"antibiotic","no","N2",0,100,0,"V4","Macfarlane et al. 1998","no",2,2,2,0.01,2,2,2,5,3,1,0.1,0.01,0,0.04,0.01,0.005,0.001,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"yes",NA,NA
