,primary_id,study_title,sequence_accession_number,sampleID,bioreactor_model,donor,include_study,reason,fecalSampleSequence,ndonor_type,country_donor,continent,predigestion,stage,stages,working_volume_mL,pH_ac,pH_tc,pH_dc,stirring_speed_rpm,total_retention_time_h,treatment,external_microorganism,flushing_gas,CO2_.,N2_.,H2_.,region_16S,media_based_on,vitamins,peptone,yeast_extract,NaHCO3,CaCl2,pectin,xylan,arabinogalactan,starch,casein,inulin,NaCl,K2HPO4,NaH2PO4,KH2PO4,MgSO4,hemin,menadione,bile_salts_oxgall,L_cysteine,mucin,glucose,pancreatin,cellobiose,lactose,whey_proteins_lactalbumin,HEPES,guanine,inosine,thymidine,xanthine,choline_chloride,ascorbic_acid,lipoic_acid,histidine,resazurin,aminoacid_mix,trace_mineral_supplement,cellulose,bacto_tryptone,XOS,Tween_80,KCL,MgCl2,FeSO4,MnCl2,CoSO4,CuSO4,ZnSO4,NiCl2,Xylitol,Rice,popcorn,whey_protein,arabic_gum,guar_gum,polyoxyethylene,digested_milk_fragments,maltose,include_sample,sample_name_other,reason_sample_exclusion
1,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491382,SRR8695500,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
2,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491381,SRR8695501,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
3,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491380,SRR8695502,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
4,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491379,SRR8695503,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
5,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491378,SRR8695504,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
6,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491377,SRR8695505,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
7,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491376,SRR8695506,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
8,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491375,SRR8695507,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
9,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491374,SRR8695508,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
10,SRP187837,Raw sequence reads of bacterial microbiota of artificial human intestine under different food supply,SRX5491373,SRR8695509,batch_Kleigrewe_et_al_2022,healthy,yes,OK,no,3_individual,Germany,Europe,yes,0,batch,100,NA,NA,NA,NA,24,Flaxseed,no,no,0,0,0,V3_V4,Macfarlane et al. 1998,no,5,4.5,1.5,0.11,2,2,2,5,3,1,4.5,0,0,0.5,0.61,0.01,0,0.4,0.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4.5,0,0.0027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,yes,NA,NA
