family_GM_only,phylum_GM_only,family_samples_only,phylum_samples_only
Leptospiraceae,Bacillota,Aggregatilineaceae,Actinomycetota
Bernardetiaceae,Bacillota,Ardenticatenaceae,Actinomycetota
Dermatophilaceae,Bacillota,Bryobacteraceae,Bacillota
Thermoflexibacteraceae,Bacillota,Chthoniobacteraceae,Bacillota
Candidatus Brocadiaceae,Bacillota,Defluviitaleaceae,Bacillota
Saprospiraceae,Bacillota,Desulfosalsimonadaceae,Bacillota
Marivirgaceae,Bacillota,Dissulfurirhabdaceae,Bacillota
Sulfolobaceae,Bacillota,Eubacteriales Family XII. Incertae Sedis,Bacillota
Natrialbaceae,Bacillota,Gaiellaceae,Bacillota
Halobacteriaceae,Bacillota,Gracilibacteraceae,Bacillota
Haloferacaceae,Bacillota,Haloplasmataceae,Bacillota
Thermococcaceae,Bacillota,Immundisolibacteraceae,Bacillota
Anaplasmataceae,Actinomycetota,Kallotenuaceae,Bacillota
Methanosarcinaceae,Bacillota,Lawsonellaceae,Bacillota
Cryomorphaceae,Bacillota,Micropepsaceae,Bacillota
Thiotrichaceae,Bacillota,Muribaculaceae,Bacillota
Dermocarpellaceae,Bacillota,Nitrospinaceae,Bacillota
Oscillatoriaceae,Bacillota,Oculatellaceae,Bacillota
Xenococcaceae,Bacillota,Reyranellaceae,Bacillota
Pseudanabaenaceae,Bacillota,Spirillaceae,Bacillota
Desulfallaceae,Bacillota,Syntrophorhabdaceae,Bacillota
Microscillaceae,Bacillota,Thermoanaerobaculaceae,Bacillota
Flammeovirgaceae,Bacillota,Thermogemmatisporaceae,Bacillota
Reichenbachiellaceae,Bacillota,Thermohalobacteraceae,Bacillota
Chroococcidiopsidaceae,Actinomycetota,Thioalkalibacteraceae,Bacillota
Marinobacteraceae,Actinomycetota,Trichocoleusaceae,Bacillota
Cyclobacteriaceae,Bacillota,Unknown,Bacillota
Nocardiopsaceae,Bacillota,Vallitaleaceae,Bacillota
Fortieaceae,Bacillota,Vermifilaceae,Bacillota
Acidilobaceae,Crenarchaeota,Vicinamibacteraceae,Bacillota
Frankiaceae,Bacillota,,
Vallicoccaceae,Bacillota,,
Dietziaceae,Bacillota,,
Haloarculaceae,Bacillota,,
Beijerinckiaceae,Bacillota,,
Halorubraceae,Bacillota,,
Methanobacteriaceae,Bacillota,,
Blastochloridaceae,Bacillota,,
Afifellaceae,Actinomycetota,,
Methanomassiliicoccaceae,Bacillota,,
Spongiibacteraceae,Bacillota,,
Rhodothalassiaceae,Euryarchaeota,,
Nakamurellaceae,Bacillota,,
Desulfofabaceae,Bacillota,,
Syntrophobacteraceae,Bacillota,,
Halothiobacillaceae,Bacillota,,
Aphanizomenonaceae,Actinomycetota,,
Rickettsiaceae,Bacillota,,
Chloroflexaceae,Bacillota,,
Maricaulaceae,Bacillota,,
Hahellaceae,Bacillota,,
Microbulbiferaceae,Bacillota,,
Stappiaceae,Bacillota,,
Sporolactobacillaceae,Bacillota,,
Ferrimonadaceae,Bacillota,,
Coleofasciculaceae,Bacteroidota,,
Ignatzschineriaceae,Bacillota,,
Prochlorotrichaceae,Bacillota,,
Chlorogloeopsidaceae,Bacillota,,
Porticoccaceae,Bacillota,,
Magnetococcaceae,Bacillota,,
Microcystaceae,Bacillota,,
Sphaerochaetaceae,Actinomycetota,,
Melioribacteraceae,Bacillota,,
Cryptosporangiaceae,Bacillota,,
Brevibacteriaceae,Bacillota,,
Merismopediaceae,Bacillota,,
Kangiellaceae,Bacillota,,
Spirulinaceae,Actinomycetota,,
Desulfobacteraceae,Actinomycetota,,
Hydrogenothermaceae,Actinomycetota,,
Prolixibacteraceae,Actinomycetota,,
Actinopolymorphaceae,Actinomycetota,,
Stigonemataceae,Actinomycetota,,
Hapalosiphonaceae,Euryarchaeota,,
Chamaesiphonaceae,Bacillota,,
Methanocellaceae,Euryarchaeota,,
Chrysiogenaceae,Bacillota,,
Kosmotogaceae,Bacillota,,
Calotrichaceae,Bacillota,,
Blattabacteriaceae,Bacillota,,
Thermotogaceae,Actinomycetota,,
Acidithiobacillaceae,Proteobacteria,,
Thermithiobacillaceae,Actinomycetota,,
Desulfurococcaceae,Bacillota,,
Scytonemataceae,Actinomycetota,,
Dermabacteraceae,Bacillota,,
Beutenbergiaceae,Bacillota,,
Jatrophihabitantaceae,Bacillota,,
Roseiflexaceae,Actinomycetota,,
Fulvivirgaceae,Actinomycetota,,
Acidimicrobiaceae,Actinomycetota,,
Thermoproteaceae,Actinomycetota,,
Nitrosopumilaceae,Actinomycetota,,
Pirellulaceae,Actinomycetota,,
Nitrospiraceae,Actinomycetota,,
Ornithinimicrobiaceae,Actinomycetota,,
Thiolinaceae,Bacteroidota,,
Thiofilaceae,Bacteroidota,,
Halococcaceae,Actinomycetota,,
Zavarziniaceae,Bacteroidota,,
Ahrensiaceae,Actinomycetota,,
Natronoarchaeaceae,Actinomycetota,,
Isosphaeraceae,Actinomycetota,,
Kytococcaceae,Actinomycetota,,
Methanospirillaceae,Actinomycetota,,
Candidatus Methanomethylophilaceae,Actinomycetota,,
Thermodesulfobacteriaceae,Bacteroidota,,
Deinococcaceae,Actinomycetota,,
Dictyoglomaceae,Actinomycetota,,
Salinisphaeraceae,Bacteroidota,,
Spirochaetaceae,Bacteroidota,,
Archaeoglobaceae,Euryarchaeota,,
Rarobacteraceae,Bacteroidota,,
Arenicellaceae,Proteobacteria,,
Ruaniaceae,Bacteroidota,,
Actinopolysporaceae,Actinomycetota,,
Idiomarinaceae,Actinomycetota,,
Thermofilaceae,Bacteroidota,,
Borreliaceae,Bacillota,,
