"","study_title","primary_id","sequence_accession_number","run_id"
"1","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148440","SRR13761663"
"2","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148439","SRR13761664"
"3","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148438","SRR13761665"
"4","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148437","SRR13761666"
"5","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148436","SRR13761667"
"6","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148435","SRR13761668"
"7","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148434","SRR13761669"
"8","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148433","SRR13761670"
"9","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148432","SRR13761671"
"10","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148431","SRR13761672"
"11","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148430","SRR13761673"
"12","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148429","SRR13761674"
"13","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148428","SRR13761675"
"14","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148427","SRR13761676"
"15","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148426","SRR13761677"
"16","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148425","SRR13761678"
"17","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148424","SRR13761679"
"18","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148423","SRR13761680"
"19","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148422","SRR13761681"
"20","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148421","SRR13761682"
"21","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148420","SRR13761683"
"22","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148419","SRR13761684"
"23","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148418","SRR13761685"
"24","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148417","SRR13761686"
"25","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148416","SRR13761687"
"26","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148415","SRR13761688"
"27","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148414","SRR13761689"
"28","A comparison of the in vitro effects of 2-fucosyllactose and lactose on the composition and activity of gut microbiota from infants and toddlers","SRP307470","SRX10148413","SRR13761690"
