"","primary_id","study_title","sequence_accession_number","run_id","sample_name","bioreactor_model","donor","include_study","reason","fecalSampleSequence","bioreactor_type","ndonor_type","country_donor","continent","predigestion","stage","stages","working_volume_mL","pH_ac","pH_tc","pH_dc","stirring_speed_rpm","total_retention_time_h","treatment","external_microorganism","flushing_gas","CO2_.","N2_.","H2_.","region_16S","media_based_on","vitamins","peptone","yeast_extract","NaHCO3","CaCl2","pectin","xylan","arabinogalactan","starch","casein","inulin","NaCl","K2HPO4","NaH2PO4","KH2PO4","MgSO4","hemin","menadione","bile_salts_oxgall","L_cysteine","mucin","glucose","pancreatin","cellobiose","lactose","whey_proteins_lactalbumin","HEPES","guanine","inosine","thymidine","xanthine","choline_chloride","ascorbic_acid","lipoic_acid","histidine","resazurin","aminoacid_mix","trace_mineral_supplement","cellulose","bacto_tryptone","XOS","Tween_80","KCL","MgCl2","FeSO4","MnCl2","CoSO4","CuSO4","ZnSO4","NiCl2","Xylitol","Rice","popcorn","whey_protein","arabic_gum","guar_gum","polyoxyethylene","digested_milk_fragments","maltose","bile","buffer","carbon","cofactor","enzyme","glycoprotein","micronutrient","nitrogen","nucleic.acid","redox","salt","surfactant","vitamin","CNratio","include_sample","sample_name_other","reason_sample_exclusion"
"1","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878833","ERR1816255","SAMEA72791668","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"2","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878832","ERR1816254","SAMEA72790918","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"3","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878831","ERR1816253","SAMEA72790168","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"4","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878830","ERR1816252","SAMEA72789418","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"5","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878829","ERR1816251","SAMEA72788668","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"6","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878828","ERR1816250","SAMEA72787918","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"7","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878827","ERR1816249","SAMEA72787168","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"8","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878826","ERR1816248","SAMEA72786418","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"9","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878825","ERR1816247","SAMEA72785668","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"10","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878824","ERR1816246","SAMEA72784918","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"11","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878823","ERR1816245","SAMEA72784168","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"12","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878822","ERR1816244","SAMEA72783418","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"13","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878821","ERR1816243","SAMEA72782668","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"14","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878820","ERR1816242","SAMEA72781918","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"15","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878819","ERR1816241","SAMEA72781168","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"16","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878818","ERR1816240","SAMEA72780418","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"17","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878817","ERR1816239","SAMEA72779668","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"18","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878816","ERR1816238","SAMEA72778918","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"19","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878815","ERR1816237","SAMEA72778168","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"20","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878814","ERR1816236","SAMEA72777418","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"21","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878813","ERR1816235","SAMEA72776668","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"22","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878812","ERR1816234","SAMEA72775918","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"23","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878811","ERR1816233","SAMEA72775168","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
"24","ERP021273","Dietary emulsifiers directly alter SHIME microbiota composition","ERX1878810","ERR1816232","SAMEA72774418","M-SHIME_Chassaing_et_al_2020","healthy","yes","OK","no","SHIME","1_individual","Belgium","Europe","yes","3","st_si_ac",500,"6.15",NA,NA,200,20,"CMC","no","N2",0,100,0,"V4","SHIME","no",1,3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.5,4,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.75,3,0,0.054,4,0,1.5,0,0,0,0,0,2,"yes",NA,NA
