substrate,source
peptone,nitrogen
yeast_extract,carbon
NaHCO3,buffer
CaCl2,micronutrient
pectin,carbon
xylan,carbon
arabinogalactan,carbon
starch,carbon
casein,nitrogen
inulin,carbon
NaCl,salt
K2HPO4,buffer
NaH2PO4,buffer
KH2PO4,buffer
MgSO4,micronutrient
hemin,cofactor
menadione,vitamin
bile_salts_oxgall,bile
L_cysteine,nitrogen
mucin,glycoprotein
glucose,carbon
pancreatin,enzyme
cellobiose,carbon
lactose,carbon
whey_proteins_lactalbumin,nitrogen
HEPES,buffer
guanine,nucleic acid
inosine,nucleic acid
thymidine,nucleic acid
xanthine,nucleic acid
choline_chloride,bile
ascorbic_acid,vitamin
lipoic_acid,vitamin
histidine,nitrogen
resazurin,redox
aminoacid_mix,nitrogen
trace_mineral_supplement,salt
cellulose,carbon
bacto_tryptone,nitrogen
XOS,carbon
Tween_80,surfactant
KCL,salt
MgCl2,salt
FeSO4,micronutrient
MnCl2,micronutrient
CoSO4,micronutrient
CuSO4,micronutrient
ZnSO4,micronutrient
NiCl2,micronutrient
Xylitol,carbon
Rice,carbon
popcorn,carbon
whey_protein,nitrogen
arabic_gum,carbon
guar_gum,carbon
polyoxyethylene,carbon
digested_milk_fragments,nitrogen
maltose,carbon
