"","study_title","sequence_accession_number","primary_id","organism","run_id","library_strategy","library_source","library_selection","sample_name"
"1","Stool conservation","SRX8507185","SRP266568","human gut metagenome","SRR11962942","AMPLICON","METAGENOMIC","other","P2SFJ6"
"2","Stool conservation","SRX8507184","SRP266568","human gut metagenome","SRR11962943","AMPLICON","METAGENOMIC","other","P2SFJ4Bi"
"3","Stool conservation","SRX8507183","SRP266568","human gut metagenome","SRR11962944","AMPLICON","METAGENOMIC","other","P2SFJ4"
"4","Stool conservation","SRX8507182","SRP266568","human gut metagenome","SRR11962945","AMPLICON","METAGENOMIC","other","P2SFJ2Bi"
"5","Stool conservation","SRX8507181","SRP266568","human gut metagenome","SRR11962946","AMPLICON","METAGENOMIC","other","P2SFJ2"
"6","Stool conservation","SRX8507180","SRP266568","human gut metagenome","SRR11962947","AMPLICON","METAGENOMIC","other","P2SFJ11"
"7","Stool conservation","SRX8507179","SRP266568","human gut metagenome","SRR11962948","AMPLICON","METAGENOMIC","other","P2SFJ10Bi"
"8","Stool conservation","SRX8507178","SRP266568","human gut metagenome","SRR11962949","AMPLICON","METAGENOMIC","other","P2SFJ10"
"9","Stool conservation","SRX8507177","SRP266568","human gut metagenome","SRR11962950","AMPLICON","METAGENOMIC","other","P2SFJ1"
"10","Stool conservation","SRX8507176","SRP266568","human gut metagenome","SRR11962951","AMPLICON","METAGENOMIC","other","P2SCT0"
"11","Stool conservation","SRX8507175","SRP266568","human gut metagenome","SRR11962952","AMPLICON","METAGENOMIC","other","C1_52"
"12","Stool conservation","SRX8507174","SRP266568","human gut metagenome","SRR11962953","AMPLICON","METAGENOMIC","other","P2SCJ9"
"13","Stool conservation","SRX8507173","SRP266568","human gut metagenome","SRR11962954","AMPLICON","METAGENOMIC","other","P2SCJ8Bi"
"14","Stool conservation","SRX8507172","SRP266568","human gut metagenome","SRR11962955","AMPLICON","METAGENOMIC","other","P2SCJ8"
"15","Stool conservation","SRX8507171","SRP266568","human gut metagenome","SRR11962956","AMPLICON","METAGENOMIC","other","P2SCJ6"
"16","Stool conservation","SRX8507170","SRP266568","human gut metagenome","SRR11962957","AMPLICON","METAGENOMIC","other","P2SCJ4Bi"
"17","Stool conservation","SRX8507169","SRP266568","human gut metagenome","SRR11962958","AMPLICON","METAGENOMIC","other","P2SCJ4"
"18","Stool conservation","SRX8507168","SRP266568","human gut metagenome","SRR11962959","AMPLICON","METAGENOMIC","other","P2SCJ2Bi"
"19","Stool conservation","SRX8507167","SRP266568","human gut metagenome","SRR11962960","AMPLICON","METAGENOMIC","other","P2SCJ2"
"20","Stool conservation","SRX8507166","SRP266568","human gut metagenome","SRR11962961","AMPLICON","METAGENOMIC","other","P2SCJ1"
"21","Stool conservation","SRX8507165","SRP266568","human gut metagenome","SRR11962962","AMPLICON","METAGENOMIC","other","P2FECES"
"22","Stool conservation","SRX8507164","SRP266568","human gut metagenome","SRR11962963","AMPLICON","METAGENOMIC","other","C1_51"
"23","Stool conservation","SRX8507163","SRP266568","human gut metagenome","SRR11962964","AMPLICON","METAGENOMIC","other","P1SLT0"
"24","Stool conservation","SRX8507162","SRP266568","human gut metagenome","SRR11962965","AMPLICON","METAGENOMIC","other","P1SLJ9"
"25","Stool conservation","SRX8507161","SRP266568","human gut metagenome","SRR11962966","AMPLICON","METAGENOMIC","other","P1SLJ8Bi"
