"","group1","group2","statistic","p.value","alternative","distribution","p.adjust.method","test","expression","variable","p.value.sig"
"1","ARCOL_Leclerc_et_al_2021","M-ARCOL_Deschamps_et_al_2020",8.61891726252746,8.11082034295329e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""8.11e-16"")","Observed","***"
"2","Infors_Reese_et_al_2018","ARCOL_Leclerc_et_al_2021",4.26239585509135,0.00153707539836142,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.54e-03"")","Observed","**"
"3","Infors_Reese_et_al_2018","M-ARCOL_Deschamps_et_al_2020",4.49415291501465,0.000558779401775443,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.59e-04"")","Observed","***"
"4","Infors_Reese_et_al_2018","PolyFermS_Pham_et_al_2019",1.06964319642805,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"5","M-SHIME_Abbeele_2021","ARCOL_Leclerc_et_al_2021",1.4173943829277,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"6","M-SHIME_Abbeele_2021","Infors_Reese_et_al_2018",3.32687900584975,0.0544511887679358,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.05"")","Observed","n.s."
"7","M-SHIME_Abbeele_2021","M-ARCOL_Deschamps_et_al_2020",8.42731109364131,4.17364377613018e-15,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.17e-15"")","Observed","***"
"8","M-SHIME_Abbeele_2021","M-SHIME_Chassaing_et_al_2017",8.25156881919633,1.81341140598228e-14,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.81e-14"")","Observed","***"
"9","M-SHIME_Abbeele_2021","PolyFermS_Pham_et_al_2019",2.28856137805478,0.928403703371441,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.93"")","Observed","n.s."
"10","M-SHIME_Abbeele_2021","SIMGI_Zorraquin_et_al_2021",0.757676608602241,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"11","M-SHIME_Abbeele_2021","TIM-2_Larsen_et_al_2019",11.6259805152667,4.31796092306565e-29,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""4.32e-29"")","Observed","***"
"12","M-SHIME_Abbeele_2021","TIM-2_Vieira_et_al_2021",2.20089726244655,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"13","M-SHIME_Chassaing_et_al_2017","ARCOL_Leclerc_et_al_2021",8.37517909287769,6.45137472306443e-15,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.45e-15"")","Observed","***"
"14","M-SHIME_Chassaing_et_al_2017","Infors_Reese_et_al_2018",3.94211617831416,0.00565360846866737,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.65e-03"")","Observed","**"
"15","M-SHIME_Chassaing_et_al_2017","M-ARCOL_Deschamps_et_al_2020",1.0790248965227,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"16","M-SHIME_Chassaing_et_al_2017","PolyFermS_Pham_et_al_2019",5.35763160397959,0.00000767311511146835,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""7.67e-06"")","Observed","***"
"17","M-SHIME_Chassaing_et_al_2017","SIMGI_Zorraquin_et_al_2021",1.23410061898355,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"18","M-SHIME_Chassaing_et_al_2017","TIM-2_Larsen_et_al_2019",4.32586251989598,0.00118510209969308,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.19e-03"")","Observed","**"
"19","M-SHIME_Chassaing_et_al_2017","TIM-2_Vieira_et_al_2021",9.82885194499658,1.09104868294132e-20,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.09e-20"")","Observed","***"
"20","PolyFermS_Pham_et_al_2019","ARCOL_Leclerc_et_al_2021",3.37185965787071,0.047037364536155,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.05"")","Observed","*"
"21","PolyFermS_Pham_et_al_2019","M-ARCOL_Deschamps_et_al_2020",5.79523899408858,0.000000641305177881417,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""6.41e-07"")","Observed","***"
"22","SHIME_Firrman_et_al_2021","ARCOL_Leclerc_et_al_2021",11.0604048319262,2.65491615416388e-26,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.65e-26"")","Observed","***"
"23","SHIME_Firrman_et_al_2021","Infors_Reese_et_al_2018",7.63686566406025,2.53733803536796e-12,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.54e-12"")","Observed","***"
"24","SHIME_Firrman_et_al_2021","M-ARCOL_Deschamps_et_al_2020",4.11528796290921,0.00286155290027,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.86e-03"")","Observed","**"
"25","SHIME_Firrman_et_al_2021","M-SHIME_Abbeele_2021",11.0325346144501,3.594423891699e-26,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""3.59e-26"")","Observed","***"
"26","SHIME_Firrman_et_al_2021","M-SHIME_Chassaing_et_al_2017",5.27235764864087,0.0000119867240913107,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.20e-05"")","Observed","***"
"27","SHIME_Firrman_et_al_2021","PolyFermS_Pham_et_al_2019",8.78460930288424,1.91428908134658e-16,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.91e-16"")","Observed","***"
"28","SHIME_Firrman_et_al_2021","SHIME_Liu_et_al_2022",1.68517196230399,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"29","SHIME_Firrman_et_al_2021","SHIME_Ma_et_al_2022",6.82017577671639,0.00000000092747766952721,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""9.27e-10"")","Observed","***"
"30","SHIME_Firrman_et_al_2021","SIMGI_Zorraquin_et_al_2021",2.67706256168551,0.349072597292707,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""0.35"")","Observed","n.s."
"31","SHIME_Firrman_et_al_2021","TIM-2_Larsen_et_al_2019",2.1249769586366,1,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""1.00"")","Observed","n.s."
"32","SHIME_Firrman_et_al_2021","TIM-2_Vieira_et_al_2021",12.2601095115949,2.13551048492676e-32,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""2.14e-32"")","Observed","***"
"33","SHIME_Liu_et_al_2022","ARCOL_Leclerc_et_al_2021",6.89682770014997,0.00000000054771910946056,"two.sided","z","Holm","Dunn","list(italic(p)[""Holm"" - adj.] == ""5.48e-10"")","Observed","***"
