"","family_samples_only","phylum_sample_only"
"1","Aggregatilineaceae","Chloroflexi"
"2","Ardenticatenaceae","Chloroflexi"
"3","Bryobacteraceae","Acidobacteria"
"4","Chthoniobacteraceae","Verrucomicrobia"
"5","Clostridiales XVII. (i.s.)","Firmicutes [Bacillota]"
"6","Defluviitaleaceae","Firmicutes [Bacillota]"
"7","Desulfosalsimonadaceae","Proteobacteria [Pseudomonadota]"
"8","Dissulfurirhabdaceae","Proteobacteria [Pseudomonadota]"
"9","Eubacteriales XII. (i.s.)","Firmicutes [Bacillota]"
"10","Eubacteriales XIII. (i.s.)","Firmicutes [Bacillota]"
"11","Gracilibacteraceae","Firmicutes [Bacillota]"
"12","Haloplasmataceae","Tenericutes"
"13","Immundisolibacteraceae","Proteobacteria [Pseudomonadota]"
"14","Kallotenuaceae","Chloroflexi"
"15","Lawsonellaceae","Actinobacteria [Actinomycetota]"
"16","Micropepsaceae","Proteobacteria [Pseudomonadota]"
"17","Muribaculaceae","Bacteroidota"
"18","Nitrospinaceae","Nitrospinae"
"19","Oculatellaceae","Cyanobacteria"
"20","Reyranellaceae","Proteobacteria [Pseudomonadota]"
"21","Spirillaceae","Proteobacteria [Pseudomonadota]"
"22","Syntrophorhabdaceae","Proteobacteria [Pseudomonadota]"
"23","Thermoanaerobacterales III. (i.s.)","Firmicutes [Bacillota]"
"24","Thermoanaerobaculaceae","Acidobacteria"
"25","Thermogemmatisporaceae","Chloroflexi"
"26","Thermohalobacteraceae","Firmicutes [Bacillota]"
"27","Thioalkalibacteraceae","Proteobacteria [Pseudomonadota]"
"28","Trichocoleusaceae","Cyanobacteria"
"29","Vallitaleaceae","Firmicutes [Bacillota]"
"30","Vermifilaceae","Cyanobacteria"
"31","Vicinamibacteraceae","Acidobacteria"
