"","family_GM_only","phylum_GM_only"
"1","Butyricicoccaceae","Bacillota"
"2","Anaerotignaceae","Bacillota"
"3","Methanobacteriaceae","Euryarchaeota"
"4","Anaerovoracaceae","Bacillota"
"5","Dehalococcoidaceae","Chloroflexota"
"6","Natronincolaceae","Bacillota"
"7","Ignavibacteriaceae","Ignavibacteriota"
"8","Caminicellaceae","Bacillota"
"9","Solibacteraceae","Acidobacteriota"
"10","Rubrobacteraceae","Actinomycetota"
"11","Trueperaceae","Deinococcota"
"12","Deinococcaceae","Deinococcota"
"13","Coraliomargaritaceae","Verrucomicrobiota"
"14","Calditrichaceae","Calditrichota"
"15","Cyclobacteriaceae","Bacteroidota"
"16","Sulfurovaceae","Campylobacterota"
"17","Moorellaceae","Bacillota"
"18","Candidatus Babeliaceae",NA
"19","Zymomonadaceae","Pseudomonadota"
"20","Marinobacteraceae","Pseudomonadota"
"21","Thalassobaculaceae","Pseudomonadota"
"22","Ktedonobacteraceae","Chloroflexota"
"23","Melioribacteraceae","Ignavibacteriota"
"24","Prolixibacteraceae","Bacteroidota"
"25","Salinibacteraceae","Rhodothermota"
"26","Desulfosarcinaceae","Thermodesulfobacteriota"
"27","Gemmatimonadaceae","Gemmatimonadota"
"28","Owenweeksiaceae","Bacteroidota"
"29","Brevibacteriaceae","Actinomycetota"
"30","Halothermotrichaceae","Bacillota"
"31","Halobacteriovoraceae","Bdellovibrionota"
"32","Acidithiobacillaceae","Pseudomonadota"
"33","Kribbellaceae","Actinomycetota"
"34","Thermodesulfovibrionaceae","Nitrospirota"
"35","Phycisphaeraceae","Planctomycetota"
"36","Arcobacteraceae","Campylobacterota"
"37","Nitrospiraceae","Nitrospirota"
"38","Sulfurimonadaceae","Campylobacterota"
"39","Thermoanaerobacterales Family IV. Incertae Sedis","Bacillota"
"40","Fibrobacteraceae","Fibrobacterota"
"41","Lentisphaeraceae","Lentisphaerota"
"42","Desulfallaceae","Bacillota"
"43","Wenzhouxiangellaceae","Pseudomonadota"
"44","Idiomarinaceae","Pseudomonadota"
"45","Filifactoraceae","Bacillota"
"46","Bacteriovoracaceae","Bdellovibrionota"
"47","Blattabacteriaceae","Bacteroidota"
"48","Sphaerobacteraceae","Thermomicrobiota"
"49","Steroidobacteraceae","Pseudomonadota"
"50","Lewinellaceae","Bacteroidota"
"51","Salisaetaceae","Rhodothermota"
"52","Opitutaceae","Verrucomicrobiota"
"53","Fulvivirgaceae","Bacteroidota"
"54","Roseiflexaceae","Chloroflexota"
"55","Isosphaeraceae","Planctomycetota"
"56","Haliscomenobacteraceae","Bacteroidota"
"57","Chthonomonadaceae","Armatimonadota"
"58","Conexibacteraceae","Actinomycetota"
"59","Pirellulaceae","Planctomycetota"
"60","Gloeobacteraceae","Cyanobacteriota"
"61","Thiobacillaceae","Pseudomonadota"
"62","Nitrosopumilaceae","Nitrososphaerota"
"63","Dermabacteraceae","Actinomycetota"
"64","Perlucidibacaceae","Pseudomonadota"
"65","Holophagaceae","Acidobacteriota"
"66","Hydrogenophilaceae","Pseudomonadota"
"67","Alcanivoracaceae","Pseudomonadota"
"68","Nannocystaceae","Myxococcota"
"69","Syntrophaceae","Thermodesulfobacteriota"
"70","Dietziaceae","Actinomycetota"
"71","Caldicellulosiruptoraceae","Bacillota"
"72","Marinifilaceae","Bacteroidota"
"73","Gordoniaceae","Actinomycetota"
"74","Chromobacteriaceae","Pseudomonadota"
"75","Haloferacaceae","Euryarchaeota"
"76","Desulfatiglandaceae","Thermodesulfobacteriota"
"77","Chitinibacteraceae","Pseudomonadota"
